alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,80,2,5,22,1000,2,2,500,100,5,3.3744934839718193,0.26,0.06,0.28,0.31,0.36,0.37,0.34,0.02,0.04,0.04,0.04,0.02
1,1,80,2,5,24,1000,2,2,500,100,5,39.73253590783748,0.17,0.07,0.18,0.19,0.19,0.21,0.13,0.03,0.06,0.06,0.05,0.04
1,1,80,2,5,24,1000,2,2,500,100,5,20.682984519180863,0.36,0.06,0.32,0.35,0.35,0.36,0.35,0.04,0.04,0.03,0.04,0.04
1,1,80,2,5,26,1000,2,2,500,100,5,11.057236603499456,0.28,0.02,0.29,0.26,0.29,0.27,0.18,0.02,0.07,0.05,0.01,0.03
1,1,80,2,5,26,1000,2,2,500,100,5,21.010616825710358,0.08,0.04,0.09,0.08,0.09,0.08,0.1,0.02,0.04,0.02,0.02,0.02
1,1,80,2,5,28,1000,2,2,500,100,5,6.7730421605660505,0.08,0.03,0.13,0.08,0.08,0.1,0.09,0.02,0.03,0.03,0.05,0.01
1,1,80,2,5,28,1000,2,2,500,100,5,17.305164608692692,0.19,0.04,0.19,0.21,0.17,0.14,0.17,0.03,0.05,0.01,0.02,0.01
1,1,80,2,5,30,1000,2,2,500,100,5,1.2665247404941535,0.09,0.05,0.1,0.08,0.15,0.08,0.11,0.02,0.01,0.03,0.04,0.02
1,1,80,2,5,30,1000,2,2,500,100,5,18.854358053818476,0.08,0.04,0.09,0.08,0.11,0.08,0.1,0.02,0.02,0.07,0.03,0.03
1,1,80,2,5,32,1000,2,2,500,100,5,6.427351931949029,0.1,0.03,0.09,0.09,0.11,0.1,0.08,0.04,0.04,0.03,0.02,0.02
1,1,80,2,5,32,1000,2,2,500,100,5,1.6844090925229511,0.15,0.02,0.12,0.14,0.07,0.11,0.1,0.02,0.04,0.03,0.04,0.03
1,1,80,2,5,34,1000,2,2,500,100,5,1.5148761906546502,0.17,0.02,0.18,0.15,0.23,0.15,0.22,0.03,0.01,0.02,0.04,0.01
1,1,80,2,5,34,1000,2,2,500,100,5,5.671041776454565,0.22,0.02,0.18,0.2,0.18,0.19,0.16,0.02,0.06,0.05,0.05,0.02
1,1,80,2,5,36,1000,2,2,500,100,5,2.869058060579392,0.09,0.01,0.2,0.09,0.23,0.17,0.21,0.01,0.02,0.03,0.02,0.02
1,1,80,2,5,36,1000,2,2,500,100,5,2.3633869785796415,0.23,0.02,0.25,0.19,0.25,0.32,0.18,0.03,0.02,0.02,0.04,0.01
1,1,100,2,5,2,1000,2,2,500,100,5,10.826827027335462,0.66,0.68,0.69,0.72,0.81,0.83,0.79,0.68,0.68,0.73,0.68,0.76
1,1,100,2,5,2,1000,2,2,500,100,5,3.9978441054145017,0.65,0.53,0.62,0.57,0.58,0.59,0.64,0.5,0.5,0.45,0.46,0.62
1,1,100,2,5,4,1000,2,2,500,100,5,14.315122497017006,0.75,0.72,0.76,0.8,0.8,0.76,0.8,0.73,0.76,0.75,0.74,0.74
1,1,100,2,5,4,1000,2,2,500,100,5,2.0547026495056464,0.7,0.58,0.72,0.68,0.76,0.84,0.82,0.65,0.6,0.68,0.63,0.68
1,1,100,2,5,6,1000,2,2,500,100,5,18.0721014262264,0.73,0.28,0.62,0.63,0.64,0.6,0.72,0.17,0.29,0.29,0.31,0.14
1,1,100,2,5,6,1000,2,2,500,100,5,4.755232022678268,0.71,0.63,0.71,0.77,0.77,0.78,0.78,0.7,0.75,0.74,0.72,0.6
1,1,100,2,5,8,1000,2,2,500,100,5,10.426652573091253,0.87,0.75,0.78,0.82,0.91,0.83,0.88,0.75,0.71,0.58,0.76,0.83
1,1,100,2,5,8,1000,2,2,500,100,5,26.05256697159244,0.26,0.11,0.32,0.31,0.33,0.31,0.3,0.11,0.1,0.12,0.14,0.16
1,1,100,2,5,10,1000,2,2,500,100,5,3.315142085526295,0.79,0.58,0.77,0.69,0.7,0.79,0.71,0.41,0.47,0.47,0.52,0.48
1,1,100,2,5,10,1000,2,2,500,100,5,26.274256976365532,0.12,0.08,0.13,0.11,0.04,0.14,0.1,0.05,0.04,0.08,0.11,0.09
1,1,100,2,5,12,1000,2,2,500,100,5,11.501110438789127,0.61,0.11,0.69,0.68,0.62,0.67,0.58,0.07,0.13,0.05,0.05,0.11
1,1,100,2,5,14,1000,2,2,500,100,5,20.698340926415703,0.79,0.12,0.72,0.74,0.75,0.75,0.73,0.07,0.11,0.08,0.06,0.05
1,1,100,2,5,14,1000,2,2,500,100,5,0.22153606034637882,0.15,0.09,0.12,0.11,0.06,0.08,0.17,0.08,0.09,0.08,0.05,0.06
1,1,100,2,5,16,1000,2,2,500,100,5,15.160041606519377,0.12,0.08,0.18,0.09,0.09,0.07,0.06,0.09,0.07,0.07,0.11,0.02
1,1,100,2,5,16,1000,2,2,500,100,5,9.58708316959087,0.62,0.04,0.61,0.69,0.65,0.6,0.72,0.09,0.06,0.11,0.1,0.09
1,1,100,2,5,18,1000,2,2,500,100,5,31.52746053489079,0.71,0.03,0.65,0.63,0.54,0.62,0.7,0.06,0.08,0.03,0.03,0.07
