alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, N, Nfold, a, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
8.291744662799163,1.336490725351489,165,20,20,5,500,2,2,200,5,10.286670880637171,0.225,0.25,0.325,0.425,0.25,0.35,0.275,0.225,0.225,0.15
3.404969706346227,7.7780741021629165,193,3,57,9,500,2,2,200,5,22.234537361119685,0.075,0.05,0.2,0.025,0.1,0.125,0.2,0.15,0.175,0.125
0.12986829935049293,8.790324554522416,60,1,19,8,500,2,2,200,5,1.2333899576480123,0.175,0.1,0.175,0.2,0.2,0.125,0.15,0.225,0.125,0.05
9.73955997800982,7.137016036640274,125,10,21,10,500,2,2,200,5,5.221175521195641,0.075,0.1,0.175,0.125,0.125,0.075,0.075,0.125,0.1,0.1
1.0977774880211655,2.857328865441724,46,6,18,4,500,2,2,200,5,9.791734969699968,0.35,0.35,0.3,0.275,0.25,0.325,0.3,0.375,0.35,0.2
8.44646101034785,3.3934207466630206,47,3,7,10,500,2,2,200,5,6.671567877068036,0.1,0.075,0.125,0.1,0.075,0.125,0.1,0.15,0.1,0.15
0.5417932725602792,2.2106749729486563,119,14,18,6,500,2,2,200,5,24.678257670865126,0.225,0.225,0.175,0.225,0.275,0.1,0.1,0.15,0.125,0.175
7.162001882884805,4.717258837415049,44,2,2,10,500,2,2,200,5,5.498193807388073,0.1,0.075,0.2,0.075,0.025,0.025,0.075,0.125,0.1,0.025
8.959250647004161,4.704462117423427,42,2,3,10,500,2,2,200,5,12.471146707718843,0.15,0.225,0.175,0.225,0.15,0.125,0.125,0.05,0.225,0.1
1.6830281827798632,3.660794237792114,87,14,1,6,500,2,2,200,5,5.137159028033427,0.525,0.5,0.35,0.5,0.6,0.1,0.175,0.275,0.25,0.25
6.190011347427703,6.413717122588045,22,3,1,7,500,2,2,200,5,1.5757131596864777,0.1,0.075,0.25,0.1,0.15,0.15,0.175,0.125,0.2,0.15
2.1591551615151983,3.71521739789185,78,11,48,2,500,2,2,200,5,13.699793370021641,0.475,0.475,0.425,0.45,0.4,0.575,0.45,0.575,0.575,0.575
7.40188104518018,5.97290933990322,173,24,22,6,500,2,2,200,5,7.690346792173513,0.2,0.225,0.35,0.075,0.375,0.1,0.175,0.2,0.225,0.125
0.3244450063964277,4.0636457355352,53,5,7,8,500,2,2,200,5,8.215843422715638,0.175,0.15,0.15,0.225,0.275,0.175,0.225,0.2,0.175,0.15
1.9310451527744865,7.667718065826332,173,13,74,6,500,2,2,200,5,8.112915069127144,0.1,0.15,0.125,0.2,0.2,0.175,0.25,0.225,0.25,0.2
1.6941666570994462,8.888184090410917,77,9,13,6,500,2,2,200,5,8.292184306313295,0.1,0.275,0.175,0.2,0.15,0.225,0.125,0.15,0.15,0.15
1.51446321728528,9.258345512530097,94,2,5,8,500,2,2,200,5,0.8668207864799281,0.125,0.15,0.175,0.1,0.1,0.15,0.1,0.175,0.15,0.15
6.97287521807308,5.106532072759253,139,26,25,4,500,2,2,200,5,26.802581602669218,0.375,0.25,0.3,0.25,0.3,0.325,0.3,0.3,0.275,0.35
3.0370861773798286,4.96896076584242,183,33,46,4,500,2,2,200,5,1.411171761921314,0.225,0.2,0.2,0.25,0.375,0.25,0.2,0.225,0.2,0.2
5.87467102742346,7.328149875512871,152,11,19,7,500,2,2,200,5,3.2688536102216625,0.15,0.125,0.2,0.25,0.1,0.15,0.225,0.1,0.25,0.15
6.314826723336494,1.8645111654867086,30,4,4,5,500,2,2,200,5,2.267630767547045,0.475,0.275,0.3,0.25,0.425,0.2,0.225,0.15,0.175,0.2
1.3511358553396424,4.48547408208409,140,11,11,7,500,2,2,200,5,4.641816677245979,0.175,0.2,0.175,0.15,0.175,0.2,0.2,0.2,0.125,0.225
9.331716620302664,2.560387015812209,31,2,7,6,500,2,2,200,5,9.663842325394318,0.075,0.15,0.1,0.25,0.15,0.125,0.1,0.175,0.15,0.15
