mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,80,2,5,12,1000,2,2,500,100,5,1.5528380648122355,0.25,0.15,0.24,0.3,0.26,0.21,0.3,0.17,0.23,0.18,0.12,0.22
0,5,2,4,80,2,5,14,1000,2,2,500,100,5,14.944714446170694,0.85,0.76,0.91,0.93,0.96,0.92,0.95,0.75,0.86,0.79,0.81,0.77
0,5,2,4,80,2,5,14,1000,2,2,500,100,5,6.953948646941884,0.97,0.9,0.95,0.93,0.95,0.99,0.99,0.79,0.72,0.85,0.78,0.92
0,5,2,4,80,2,5,16,1000,2,2,500,100,5,13.932402964340838,0.39,0.03,0.36,0.37,0.38,0.37,0.34,0.06,0.03,0.07,0.03,0.06
0,5,2,4,80,2,5,16,1000,2,2,500,100,5,10.581166541042599,1.0,0.87,0.98,0.95,1.0,0.99,0.98,0.9,0.85,0.9,0.86,0.91
0,5,2,4,80,2,5,18,1000,2,2,500,100,5,0.5246289199612687,0.5,0.37,0.44,0.52,0.58,0.46,0.53,0.37,0.4,0.43,0.32,0.36
0,5,2,4,80,2,5,18,1000,2,2,500,100,5,12.77971538068023,0.37,0.05,0.3,0.32,0.28,0.36,0.34,0.05,0.08,0.07,0.1,0.07
0,5,2,4,80,2,5,20,1000,2,2,500,100,5,22.74245465746467,0.87,0.62,0.81,0.83,0.9,0.9,0.9,0.48,0.63,0.67,0.62,0.61
0,5,2,4,80,2,5,20,1000,2,2,500,100,5,10.316891917273722,0.76,0.39,0.68,0.76,0.82,0.62,0.75,0.31,0.33,0.3,0.46,0.28
0,5,2,4,80,2,5,22,1000,2,2,500,100,5,10.94935570220563,1.0,0.95,1.0,0.99,1.0,0.99,1.0,0.95,0.91,0.88,0.9,0.94
0,5,2,4,80,2,5,24,1000,2,2,500,100,5,2.5226599326357784,0.37,0.15,0.28,0.37,0.32,0.29,0.35,0.08,0.18,0.09,0.05,0.07
0,5,2,4,80,2,5,26,1000,2,2,500,100,5,2.663827923160229,0.68,0.39,0.72,0.74,0.69,0.78,0.74,0.13,0.52,0.43,0.37,0.24
0,5,2,4,80,2,5,26,1000,2,2,500,100,5,6.458577986348297,0.88,0.47,0.84,0.91,0.91,0.87,0.88,0.12,0.05,0.1,0.12,0.46
