mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,100,2,10,16,1000,2,2,500,100,5,8.239084306258844,0.95,0.84,0.97,0.98,0.96,0.98,0.99,0.81,0.91,0.81,0.85,0.68
0,5,2,4,100,2,10,18,1000,2,2,500,100,5,8.469095720026946,0.14,0.06,0.21,0.1,0.17,0.17,0.18,0.07,0.07,0.08,0.07,0.08
0,5,2,4,100,2,10,18,1000,2,2,500,100,5,10.305076585514088,0.23,0.07,0.19,0.25,0.21,0.24,0.24,0.08,0.01,0.05,0.07,0.05
0,5,2,4,100,2,10,20,1000,2,2,500,100,5,3.1521914494191394,0.5,0.13,0.42,0.47,0.44,0.37,0.48,0.14,0.19,0.14,0.14,0.21
0,5,2,4,100,2,10,20,1000,2,2,500,100,5,16.130718495687194,0.85,0.54,0.76,0.75,0.77,0.78,0.72,0.44,0.42,0.33,0.48,0.49
0,5,2,4,100,2,10,22,1000,2,2,500,100,5,0.6375180664000337,0.46,0.28,0.45,0.46,0.47,0.5,0.44,0.26,0.22,0.11,0.3,0.27
0,5,2,4,100,2,10,22,1000,2,2,500,100,5,0.5392955317481255,0.28,0.14,0.13,0.28,0.22,0.18,0.25,0.11,0.17,0.15,0.11,0.17
0,5,2,4,100,2,10,24,1000,2,2,500,100,5,8.91988179512951,0.4,0.05,0.41,0.47,0.42,0.44,0.49,0.04,0.09,0.05,0.06,0.07
0,5,2,4,100,2,10,24,1000,2,2,500,100,5,3.869055300172937,0.95,0.61,0.9,0.94,0.92,0.93,0.95,0.24,0.18,0.59,0.47,0.13
0,5,2,4,100,2,10,28,1000,2,2,500,100,5,1.4988509881692211,0.44,0.15,0.47,0.48,0.42,0.44,0.45,0.15,0.12,0.1,0.12,0.1
0,5,2,4,100,2,10,32,1000,2,2,500,100,5,0.2958894779404202,0.06,0.03,0.06,0.12,0.04,0.03,0.06,0.09,0.04,0.06,0.07,0.02
0,5,2,4,100,2,10,42,1000,2,2,500,100,5,2.839772547407828,0.38,0.02,0.42,0.36,0.34,0.36,0.3,0.01,0.01,0.02,0.02,0.05
0,5,2,4,100,5,2,2,1000,2,2,500,100,5,9.61577506943493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,1.0
0,5,2,4,100,5,2,4,1000,2,2,500,100,5,8.994734595073492,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98
0,5,2,4,100,5,2,6,1000,2,2,500,100,5,11.18579552576335,0.98,0.99,0.99,0.99,1.0,1.0,0.97,0.94,0.95,0.96,0.95,0.94
0,5,2,4,100,5,2,6,1000,2,2,500,100,5,1.0010991128737843,0.83,0.75,0.91,0.85,0.88,0.84,0.88,0.73,0.76,0.78,0.73,0.78
0,5,2,4,100,5,2,8,1000,2,2,500,100,5,2.7874800105452033,1.0,0.92,1.0,0.97,0.99,0.97,0.98,0.93,0.92,0.92,0.88,0.9
0,5,2,4,100,5,2,10,1000,2,2,500,100,5,13.366628922607518,0.99,0.93,0.99,0.99,0.99,0.99,0.99,0.92,0.92,0.89,0.94,0.82
0,5,2,4,100,5,2,10,1000,2,2,500,100,5,8.813853780036238,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,0.97,0.99,0.91,0.99
0,5,2,4,100,5,2,14,1000,2,2,500,100,5,0.8975051309724748,0.91,0.45,0.93,0.9,0.93,0.88,0.94,0.08,0.42,0.24,0.24,0.09
0,5,2,4,100,5,5,2,1000,2,2,500,100,5,5.266765017509095,1.0,0.96,0.99,0.99,0.99,1.0,0.99,0.97,0.96,0.96,0.95,0.99
0,5,2,4,100,5,5,2,1000,2,2,500,100,5,5.737771305203951,0.86,0.85,0.93,0.92,0.86,0.93,0.89,0.88,0.84,0.79,0.73,0.81
0,5,2,4,100,5,5,6,1000,2,2,500,100,5,4.0299583325649495,0.89,0.83,0.85,0.9,0.78,0.83,0.84,0.82,0.7,0.69,0.71,0.77
0,5,2,4,100,5,5,8,1000,2,2,500,100,5,1.8700192758414413,0.82,0.58,0.74,0.77,0.75,0.76,0.8,0.62,0.53,0.61,0.64,0.63
0,5,2,4,100,5,5,8,1000,2,2,500,100,5,16.727771911946952,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.99,0.93,0.97,0.99,0.94
0,5,2,4,100,5,5,10,1000,2,2,500,100,5,4.145015512325912,0.62,0.3,0.62,0.71,0.63,0.56,0.54,0.31,0.29,0.26,0.23,0.3
0,5,2,4,100,5,5,10,1000,2,2,500,100,5,4.655018790142415,1.0,0.87,1.0,1.0,0.99,1.0,1.0,0.65,0.93,0.86,0.87,0.84
0,5,2,4,100,5,5,12,1000,2,2,500,100,5,0.03718673034790828,0.62,0.31,0.45,0.57,0.48,0.55,0.62,0.15,0.28,0.19,0.24,0.28
0,5,2,4,100,5,10,2,1000,2,2,500,100,5,3.2429461468858936,0.86,0.84,0.84,0.79,0.85,0.84,0.83,0.73,0.76,0.68,0.76,0.8
0,5,2,4,100,5,10,2,1000,2,2,500,100,5,2.883263906747926,0.85,0.76,0.81,0.87,0.83,0.88,0.78,0.75,0.75,0.7,0.81,0.71
0,5,2,4,100,5,10,4,1000,2,2,500,100,5,3.6767748436496768,0.87,0.79,0.85,0.88,0.83,0.82,0.86,0.69,0.68,0.66,0.8,0.75
0,5,2,4,100,5,10,6,1000,2,2,500,100,5,2.4154067763176923,0.66,0.51,0.71,0.66,0.58,0.73,0.65,0.57,0.53,0.5,0.57,0.56
0,5,2,4,100,5,10,6,1000,2,2,500,100,5,3.9499572579127786,0.57,0.35,0.55,0.57,0.58,0.55,0.59,0.43,0.42,0.45,0.42,0.5
0,5,2,4,100,5,10,8,1000,2,2,500,100,5,6.220594461018585,0.78,0.59,0.87,0.82,0.81,0.81,0.7,0.65,0.54,0.58,0.59,0.46
